scope,group,error_category,count
overall,all,EXACT_MATCH,79
overall,all,CORRECT_TARGET_WRONG_FIELD,37
overall,all,CORRECT_PARENT_PATH_TOO_BROAD,3
overall,all,CORRECT_CHILD_PATH_TOO_NARROW,18
overall,all,WRONG_COMPONENT_OR_LAYER,1
overall,all,WRONG_CATEGORY,6
overall,all,MISSING_LOCATION,0
overall,all,NON_EVALUABLE,0
overall,all,UNCLASSIFIED_LOCATION_ERROR,0
provider,dashscope,EXACT_MATCH,26
provider,dashscope,CORRECT_TARGET_WRONG_FIELD,9
provider,dashscope,CORRECT_PARENT_PATH_TOO_BROAD,3
provider,dashscope,CORRECT_CHILD_PATH_TOO_NARROW,6
provider,dashscope,WRONG_COMPONENT_OR_LAYER,0
provider,dashscope,WRONG_CATEGORY,4
provider,dashscope,MISSING_LOCATION,0
provider,dashscope,NON_EVALUABLE,0
provider,dashscope,UNCLASSIFIED_LOCATION_ERROR,0
provider,deepseek,EXACT_MATCH,27
provider,deepseek,CORRECT_TARGET_WRONG_FIELD,18
provider,deepseek,CORRECT_PARENT_PATH_TOO_BROAD,0
provider,deepseek,CORRECT_CHILD_PATH_TOO_NARROW,2
provider,deepseek,WRONG_COMPONENT_OR_LAYER,1
provider,deepseek,WRONG_CATEGORY,0
provider,deepseek,MISSING_LOCATION,0
provider,deepseek,NON_EVALUABLE,0
provider,deepseek,UNCLASSIFIED_LOCATION_ERROR,0
provider,moonshot,EXACT_MATCH,26
provider,moonshot,CORRECT_TARGET_WRONG_FIELD,10
provider,moonshot,CORRECT_PARENT_PATH_TOO_BROAD,0
provider,moonshot,CORRECT_CHILD_PATH_TOO_NARROW,10
provider,moonshot,WRONG_COMPONENT_OR_LAYER,0
provider,moonshot,WRONG_CATEGORY,2
provider,moonshot,MISSING_LOCATION,0
provider,moonshot,NON_EVALUABLE,0
provider,moonshot,UNCLASSIFIED_LOCATION_ERROR,0
evidence_view,FIRST_FAILURE,EXACT_MATCH,26
evidence_view,FIRST_FAILURE,CORRECT_TARGET_WRONG_FIELD,13
evidence_view,FIRST_FAILURE,CORRECT_PARENT_PATH_TOO_BROAD,1
evidence_view,FIRST_FAILURE,CORRECT_CHILD_PATH_TOO_NARROW,5
evidence_view,FIRST_FAILURE,WRONG_COMPONENT_OR_LAYER,1
evidence_view,FIRST_FAILURE,WRONG_CATEGORY,2
evidence_view,FIRST_FAILURE,MISSING_LOCATION,0
evidence_view,FIRST_FAILURE,NON_EVALUABLE,0
evidence_view,FIRST_FAILURE,UNCLASSIFIED_LOCATION_ERROR,0
evidence_view,FULL_EVIDENCE,EXACT_MATCH,28
evidence_view,FULL_EVIDENCE,CORRECT_TARGET_WRONG_FIELD,11
evidence_view,FULL_EVIDENCE,CORRECT_PARENT_PATH_TOO_BROAD,1
evidence_view,FULL_EVIDENCE,CORRECT_CHILD_PATH_TOO_NARROW,7
evidence_view,FULL_EVIDENCE,WRONG_COMPONENT_OR_LAYER,0
evidence_view,FULL_EVIDENCE,WRONG_CATEGORY,1
evidence_view,FULL_EVIDENCE,MISSING_LOCATION,0
evidence_view,FULL_EVIDENCE,NON_EVALUABLE,0
evidence_view,FULL_EVIDENCE,UNCLASSIFIED_LOCATION_ERROR,0
evidence_view,RETRY_HISTORY,EXACT_MATCH,25
evidence_view,RETRY_HISTORY,CORRECT_TARGET_WRONG_FIELD,13
evidence_view,RETRY_HISTORY,CORRECT_PARENT_PATH_TOO_BROAD,1
evidence_view,RETRY_HISTORY,CORRECT_CHILD_PATH_TOO_NARROW,6
evidence_view,RETRY_HISTORY,WRONG_COMPONENT_OR_LAYER,0
evidence_view,RETRY_HISTORY,WRONG_CATEGORY,3
evidence_view,RETRY_HISTORY,MISSING_LOCATION,0
evidence_view,RETRY_HISTORY,NON_EVALUABLE,0
evidence_view,RETRY_HISTORY,UNCLASSIFIED_LOCATION_ERROR,0
drift_type,ICD,EXACT_MATCH,8
drift_type,ICD,CORRECT_TARGET_WRONG_FIELD,25
drift_type,ICD,CORRECT_PARENT_PATH_TOO_BROAD,3
drift_type,ICD,CORRECT_CHILD_PATH_TOO_NARROW,0
drift_type,ICD,WRONG_COMPONENT_OR_LAYER,0
drift_type,ICD,WRONG_CATEGORY,0
drift_type,ICD,MISSING_LOCATION,0
drift_type,ICD,NON_EVALUABLE,0
drift_type,ICD,UNCLASSIFIED_LOCATION_ERROR,0
drift_type,RSD,EXACT_MATCH,16
drift_type,RSD,CORRECT_TARGET_WRONG_FIELD,5
drift_type,RSD,CORRECT_PARENT_PATH_TOO_BROAD,0
drift_type,RSD,CORRECT_CHILD_PATH_TOO_NARROW,14
drift_type,RSD,WRONG_COMPONENT_OR_LAYER,1
drift_type,RSD,WRONG_CATEGORY,0
drift_type,RSD,MISSING_LOCATION,0
drift_type,RSD,NON_EVALUABLE,0
drift_type,RSD,UNCLASSIFIED_LOCATION_ERROR,0
drift_type,SED,EXACT_MATCH,32
drift_type,SED,CORRECT_TARGET_WRONG_FIELD,3
drift_type,SED,CORRECT_PARENT_PATH_TOO_BROAD,0
drift_type,SED,CORRECT_CHILD_PATH_TOO_NARROW,1
drift_type,SED,WRONG_COMPONENT_OR_LAYER,0
drift_type,SED,WRONG_CATEGORY,0
drift_type,SED,MISSING_LOCATION,0
drift_type,SED,NON_EVALUABLE,0
drift_type,SED,UNCLASSIFIED_LOCATION_ERROR,0
drift_type,WPD,EXACT_MATCH,23
drift_type,WPD,CORRECT_TARGET_WRONG_FIELD,4
drift_type,WPD,CORRECT_PARENT_PATH_TOO_BROAD,0
drift_type,WPD,CORRECT_CHILD_PATH_TOO_NARROW,3
drift_type,WPD,WRONG_COMPONENT_OR_LAYER,0
drift_type,WPD,WRONG_CATEGORY,6
drift_type,WPD,MISSING_LOCATION,0
drift_type,WPD,NON_EVALUABLE,0
drift_type,WPD,UNCLASSIFIED_LOCATION_ERROR,0
